/ d 755 4096 0 0 5 24 6 46
bin d 755 4096 0 0 6 1 1 22 /
dev d 755 4096 0 0 6 1 1 23 /
lib64 d 755 4096 0 0 6 1 1 23 /
mnt d 755 4096 0 0 6 1 1 23 /
root d 700 4096 0 0 6 1 1 23 /
snap d 755 4096 0 0 6 1 1 23 /
sys d 755 4096 0 0 6 1 1 23 /
var d 755 4096 0 0 6 1 1 23 /
boot d 755 4096 0 0 6 1 1 23 /
etc d 755 4096 0 0 6 1 1 23 /
lost+found d 700 4096 0 0 6 1 1 23 /
opt d 755 4096 0 0 6 1 1 23 /
run d 755 4096 0 0 6 1 1 23 /
srv d 755 4096 0 0 6 1 1 23 /
cdrom d 755 4096 0 0 6 1 1 24 /
home d 755 4096 0 0 6 1 1 24 /
lib d 755 4096 0 0 6 1 1 24 /
media d 755 4096 0 0 6 1 1 24 /
proc d 755 4096 0 0 6 1 1 24 /
usr d 755 4096 0 0 6 1 1 24 /
sbin d 755 4096 0 0 5 18 2 59 /
aaa d 755 4096 1000 1000 5 18 22 21 /
os d 755 4096 1000 1000 6 1 1 25 /home
rae d 755 4096 1001 1001 6 1 1 25 /home
.cache d 700 4096 1000 1000 6 1 1 28 /home/os
.config d 700 4096 1000 1000 6 1 1 28 /home/os
.gnupg d 700 4096 1000 1000 6 1 1 29 /home/os
.local d 700 4096 1000 1000 6 1 1 29 /home/os
Applications d 700 4096 1000 1000 6 1 1 29 /home/os
Public d 755 4096 1000 1000 6 1 1 29 /home/os
Downloads d 700 4096 1000 1000 6 1 1 29 /home/os
Documents d 700 4096 1000 1000 6 1 1 29 /home/os
Desktop d 700 4096 1000 1000 6 1 1 29 /home/os
Videos d 700 4096 1000 1000 6 1 1 30 /home/os
Pictures d 700 4096 1000 1000 6 1 1 30 /home/os
Music d 700 4096 1000 1000 6 1 1 31 /home/os
Templates d 700 4096 1000 1000 6 1 1 31 /home/os
